Lat,Long,Street,Dummy1,PriceSEK,PriceSQM,Dummy2
0.0,0.0,FOLKUNGAGATAN 160: FOLKUNGAGATAN 160:SODERMALMSOFIA:Sweden,SLUTPRISSEK,5400000,63529,KR/M2
0.0,0.0,TORPHAGSVAGEN 6:OSTERMALM/EKHAGEN:STOCKHOLM:Sweden,SLUTPRISSEK,4225000,57877,KR/M2
0.0,0.0,SCHEELEGATAN 40 A:KUNGSHOLMEN:STOCKHOLM:Sweden,SLUTPRISSEK,6200000,82667,KR/M2
0.0,0.0,NYNASVAGEN 330:GAMLAENSKEDE:STOCKHOLM:Sweden,SLUTPRISSEK,3900000,60000,KR/M2
0.0,0.0,FRODINGSVAGEN 2: FRODINGSVAGEN 2:KUNGSHOLMEN-FREDHALL:Sweden,SLUTPRISSEK,2940000,84000,KR/M2
0.0,0.0,HOKMOSSEVAGEN 20:TELEFONPLAN:STOCKHOLM:Sweden,SLUTPRISSEK,2520000,56000,KR/M2
0.0,0.0,SKONVIKSVAGEN 286:STUREBY-ENSKEDE:STOCKHOLM:Sweden,SLUTPRISSEK,2150000,67188,KR/M2
0.0,0.0,LOTTA SVARDS GRAND 18:FRUANGEN/NYAFRUANGEN:STOCKHOLM:Sweden,SLUTPRISSEK,2560000,64000,KR/M2
0.0,0.0,TAPPGRAND 105 - 3TR:ENSKEDEDALEN:STOCKHOLM:Sweden,SLUTPRISSEK,3700000,42045,KR/M2
0.0,0.0,ESSINGE BROGATA 20: ESSINGE BROGATA 20:KUNGSHOLMEN/ESSINGEN:Sweden,SLUTPRISSEK,2800000,67470,KR/M2
0.0,0.0,EMAGATAN 18:BAGARMOSSEN:STOCKHOLM:Sweden,SLUTPRISSEK,1400000,77778,KR/M2
0.0,0.0,SKONTORPSVAGEN 111:ARSTA:STOCKHOLM:Sweden,SLUTPRISSEK,2425000,75781,KR/M2
0.0,0.0,EKSATRAVAGEN 414:STOCKHOLM:99 M2   4 RUM:Sweden,SLUTPRISSEK,3500000,35354,KR/M2
0.0,0.0,ULRIKSBORGSGATAN 16:KUNGSHOLMEN:STOCKHOLM:Sweden,SLUTPRISSEK,5550000,76027,KR/M2
0.0,0.0,IMATRAGATAN 388:AKALLA:STOCKHOLM:Sweden,SLUTPRISSEK,2200000
0.0,0.0,VALSBERGS GRAND 8: VALSBERGS GRAND 8:MIDSOMMARKRANSEN:Sweden,SLUTPRISSEK,3340000,75909,KR/M2
0.0,0.0,KRONOBERGSGATAN 7:KUNGSHOLMENFRIDHEMSPLAN:STOCKHOLM:Sweden,SLUTPRISSEK,5920000,80000,KR/M2
0.0,0.0,INDUSTRIGATAN 10:KUNGSHOLMENFRIDHEMSPLAN:STOCKHOLM:Sweden,SLUTPRISSEK,3350000,79762,KR/M2
0.0,0.0,SIBELIUSGANGEN 32:KISTA/AKALLA:STOCKHOLM:Sweden,SLUTPRISSEK,1785000,39317,KR/M2
0.0,0.0,HENRIKSDALSALLÉN 26B:HAMMARBYSJOSTAD:STOCKHOLM:Sweden,SLUTPRISSEK,3550000,67619,KR/M2
0.0,0.0,STAMGATAN 65: STAMGATAN 65:STOCKHOLM:Sweden,SLUTPRISSEK,2550000,29651,KR/M2
